feature_id,timestamp,mask_id,writer_id,x_position,y_position,target_width,measured_width,cd_error,defect_flag,exposure_dose,temperature,humidity,vibration,day,week,month,hour,day_of_week
F_000001,2026-05-01 09:00:00,M_2026_05_01_03,MBMW_03,1872.7,614.6,50.0,52.8,2.8,0,13.97,20.2,47.5,0.054,1,18,5,9,4
F_000002,2026-05-01 09:10:00,M_2026_05_01_03,MBMW_04,4753.6,4443.3,80.0,78.6,-1.4,0,13.94,20.0,42.0,0.047,1,18,5,9,4
F_000003,2026-05-01 09:20:00,M_2026_05_01_03,MBMW_05,3660.0,2515.4,80.0,80.4,0.4,0,14.16,20.7,47.7,0.024,1,18,5,9,4
F_000004,2026-05-01 09:30:00,M_2026_05_01_03,MBMW_03,2993.3,2246.7,80.0,77.7,-2.3,0,13.89,20.5,51.1,0.057,1,18,5,9,4
F_000005,2026-05-01 09:40:00,M_2026_05_01_03,MBMW_04,780.1,2929.3,80.0,80.2,0.2,0,14.69,20.7,51.9,0.035,1,18,5,9,4
F_000006,2026-05-01 09:50:00,M_2026_05_01_03,MBMW_05,780.0,3123.9,80.0,78.1,-1.9,0,13.67,20.9,48.0,0.031,1,18,5,9,4
F_000007,2026-05-01 10:00:00,M_2026_05_01_03,MBMW_03,290.4,358.9,80.0,77.5,-2.5,0,13.92,20.4,53.1,0.059,1,18,5,10,4
F_000008,2026-05-01 10:10:00,M_2026_05_01_03,MBMW_04,4330.9,3413.1,40.0,42.3,2.3,0,14.56,20.6,46.2,0.027,1,18,5,10,4
F_000009,2026-05-01 10:20:00,M_2026_05_01_03,MBMW_05,3005.6,1209.7,60.0,56.2,-3.8,1,13.71,20.5,47.9,0.015,1,18,5,10,4
F_000010,2026-05-01 10:30:00,M_2026_05_01_03,MBMW_03,3540.4,3569.8,80.0,78.6,-1.4,0,13.93,20.6,51.4,0.04,1,18,5,10,4
F_000011,2026-05-01 10:40:00,M_2026_05_01_04,MBMW_04,102.9,4112.7,60.0,59.6,-0.4,0,14.49,21.0,51.2,0.025,1,18,5,10,4
F_000012,2026-05-01 10:50:00,M_2026_05_01_04,MBMW_05,4849.5,4019.8,80.0,78.7,-1.3,0,13.84,20.9,49.7,0.019,1,18,5,10,4
F_000013,2026-05-01 11:00:00,M_2026_05_01_04,MBMW_03,4162.2,2762.5,70.0,71.6,1.6,0,14.16,20.5,47.6,0.052,1,18,5,11,4
F_000014,2026-05-01 11:10:00,M_2026_05_01_04,MBMW_04,1061.7,2600.8,80.0,80.6,0.6,0,14.52,21.2,47.6,0.034,1,18,5,11,4
F_000015,2026-05-01 11:20:00,M_2026_05_01_04,MBMW_05,909.1,714.4,50.0,49.0,-1.0,0,13.9,20.9,48.5,0.021,1,18,5,11,4
F_000016,2026-05-01 11:30:00,M_2026_05_01_04,MBMW_03,917.0,3876.7,40.0,39.2,-0.8,0,13.88,21.3,47.8,0.041,1,18,5,11,4
F_000017,2026-05-01 11:40:00,M_2026_05_01_04,MBMW_04,1521.2,1357.0,70.0,72.2,2.2,0,15.18,20.8,50.2,0.026,1,18,5,11,4
F_000018,2026-05-01 11:50:00,M_2026_05_01_04,MBMW_05,2623.8,2483.5,70.0,69.3,-0.7,0,14.16,20.9,49.8,0.023,1,18,5,11,4
F_000019,2026-05-01 12:00:00,M_2026_05_01_04,MBMW_03,2159.7,1421.4,50.0,50.4,0.4,0,14.24,21.3,47.7,0.049,1,18,5,12,4
F_000020,2026-05-01 12:10:00,M_2026_05_01_04,MBMW_04,1456.1,669.1,80.0,80.7,0.7,0,13.93,21.0,49.3,0.024,1,18,5,12,4
F_000021,2026-05-01 12:20:00,M_2026_05_01_05,MBMW_05,3059.3,3147.8,40.0,37.4,-2.6,0,13.9,21.3,44.7,0.039,1,18,5,12,4
